               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  78,           0.0083265,           0.0034663,                   0,             0.99998,                   1,               0.995,             0.98391,           0.0046595,           0.0017458,                   0,            0.007459,            0.007459,            0.007459
                  79,           0.0084125,           0.0034902,                   0,             0.99998,                   1,               0.995,             0.98414,           0.0046527,           0.0017418,                   0,            0.007426,            0.007426,            0.007426
                  80,           0.0083384,           0.0034561,                   0,             0.99998,                   1,               0.995,             0.98401,           0.0046473,           0.0017382,                   0,            0.007393,            0.007393,            0.007393
                  81,            0.008281,           0.0034658,                   0,             0.99998,                   1,               0.995,              0.9839,           0.0046409,            0.001736,                   0,             0.00736,             0.00736,             0.00736
                  82,           0.0082825,           0.0034654,                   0,             0.99998,                   1,               0.995,             0.98413,           0.0046331,           0.0017357,                   0,            0.007327,            0.007327,            0.007327
                  83,           0.0082379,           0.0033625,                   0,             0.99998,                   1,               0.995,              0.9843,           0.0046264,           0.0017347,                   0,            0.007294,            0.007294,            0.007294
                  84,           0.0081984,           0.0034845,                   0,             0.99998,                   1,               0.995,             0.98433,           0.0046178,           0.0017339,                   0,            0.007261,            0.007261,            0.007261
                  85,           0.0081627,           0.0033934,                   0,             0.99998,                   1,               0.995,             0.98465,           0.0046075,           0.0017339,                   0,            0.007228,            0.007228,            0.007228
                  86,           0.0082158,            0.003468,                   0,             0.99998,                   1,               0.995,             0.98423,           0.0046019,            0.001733,                   0,            0.007195,            0.007195,            0.007195
                  87,           0.0081607,           0.0034075,                   0,             0.99998,                   1,               0.995,             0.98443,           0.0045994,           0.0017317,                   0,            0.007162,            0.007162,            0.007162
                  88,            0.008114,           0.0033852,                   0,             0.99998,                   1,               0.995,             0.98434,           0.0045974,           0.0017315,                   0,            0.007129,            0.007129,            0.007129
                  89,             0.00812,           0.0034338,                   0,             0.99998,                   1,               0.995,             0.98415,           0.0045981,           0.0017313,                   0,            0.007096,            0.007096,            0.007096
                  90,           0.0081198,           0.0033981,                   0,             0.99998,                   1,               0.995,             0.98447,           0.0045952,           0.0017306,                   0,            0.007063,            0.007063,            0.007063
                  91,           0.0081329,            0.003408,                   0,             0.99998,                   1,               0.995,             0.98484,           0.0045917,           0.0017297,                   0,             0.00703,             0.00703,             0.00703
                  92,           0.0081272,           0.0033728,                   0,             0.99998,                   1,               0.995,             0.98489,           0.0045885,           0.0017286,                   0,            0.006997,            0.006997,            0.006997
